Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2022,Fons_Colleccio,"Museu de la Música",3263,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
2022,Num_Exposicions_Temporals,"Museu de la Música",4,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
2022,Visitants,"Museu de la Música",38152,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
2022,Visites_Exposicions_Temporals,"Museu de la Música",33862,,,02,Eixample,05,"el Fort Pienc","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.398366625,2.184867722
2022,Visitants,"Museu de la Xocolata",81031,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.387387733,2.181708405
2022,Fons_Colleccio,"Museu del Disseny de Barcelona",81250,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2022,Num_Exposicions_Temporals,"Museu del Disseny de Barcelona",4,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2022,Visitants,"Museu del Disseny de Barcelona",137626,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2022,Visites_Exposicions_Temporals,"Museu del Disseny de Barcelona",37735,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2022,Visitants,"Museu del Futbol Club Barcelona",1298502,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.379059282,2.120267204
2022,Visitants,"Museu dels Autòmats del Tibidabo",104475,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.42174827,2.11979347
2022,Fons_Colleccio,"Museu Egipci de Barcelona",1238,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2022,Num_Exposicions_Temporals,"Museu Egipci de Barcelona",2,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2022,Visitants,"Museu Egipci de Barcelona",252013,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2022,Visites_Exposicions_Temporals,"Museu Egipci de Barcelona",145838,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2022,Fons_Colleccio,"Museu Etnològic i de Cultures del Món",74000,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.369062110,2.155983304
2022,Num_Exposicions_Temporals,"Museu Etnològic i de Cultures del Món",3,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.369062110,2.155983304
2022,Visitants,"Museu Etnològic i de Cultures del Món",62386,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.369062110,2.155983304
2022,Visites_Exposicions_Temporals,"Museu Etnològic i de Cultures del Món",31725,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.369062110,2.155983304
2022,Fons_Colleccio,"Museu Frederic Marès",55000,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2022,Num_Exposicions_Temporals,"Museu Frederic Marès",1,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2022,Visitants,"Museu Frederic Marès",50287,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2022,Visites_Exposicions_Temporals,"Museu Frederic Marès",8862,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2022,Fons_Colleccio,"Museu Marítim de Barcelona. MMB",390269,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2022,Num_Exposicions_Temporals,"Museu Marítim de Barcelona. MMB",5,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2022,Visitants,"Museu Marítim de Barcelona. MMB",215953,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2022,Visites_Exposicions_Temporals,"Museu Marítim de Barcelona. MMB",37781,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2022,Num_Exposicions_Temporals,"Museu Nacional d'Art de Catalunya. MNAC",9,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.368853566,2.153363173
2022,Visitants,"Museu Nacional d'Art de Catalunya. MNAC",549890,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.368853566,2.153363173
2022,Visites_Exposicions_Temporals,"Museu Nacional d'Art de Catalunya. MNAC",594327,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.368853566,2.153363173
2022,Num_Exposicions_Temporals,"Museu Olímpic i de l'Esport Joan Antoni Samaranch",2,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.366249336,2.157076095
2022,Visitants,"Museu Olímpic i de l'Esport Joan Antoni Samaranch",42357,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.366249336,2.157076095
2022,Visites_Exposicions_Temporals,"Museu Olímpic i de l'Esport Joan Antoni Samaranch",21949,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.366249336,2.157076095
2022,Fons_Colleccio,"Museu Picasso",5255,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.385152312,2.180834795
2022,Num_Exposicions_Temporals,"Museu Picasso",5,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.385152312,2.180834795
2022,Visitants,"Museu Picasso",794806,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.385152312,2.180834795
2022,Visites_Exposicions_Temporals,"Museu Picasso",759735,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.385152312,2.180834795
2022,Num_Exposicions_Temporals,"Palau Güell",1,,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3791747,2.1744127
2022,Visitants,"Palau Güell",183596,,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3791747,2.1744127
2022,Visites_Exposicions_Temporals,"Palau Güell",152789,,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.3791747,2.1744127
2022,Num_Exposicions_Temporals,"Palau Robert",17,,,02,Eixample,07,"la Dreta de l'Eixample","Pública no municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.396100952,2.159514266
2022,Visitants,"Palau Robert",447654,,,02,Eixample,07,"la Dreta de l'Eixample","Pública no municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.396100952,2.159514266
2022,Visites_Exposicions_Temporals,"Palau Robert",447654,,,02,Eixample,07,"la Dreta de l'Eixample","Pública no municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.396100952,2.159514266
2022,Visitants,"Park Güell",4660467,,,06,Gràcia,30,"la Salut",Municipal,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4134251,2.1531849
2022,Fons_Colleccio,"Pavelló Mies van der Rohe",5877,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.370666,2.149491
2022,Num_Exposicions_Temporals,"Pavelló Mies van der Rohe",2,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.370666,2.149491
2022,Visitants,"Pavelló Mies van der Rohe",88437,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.370666,2.149491
2022,Visites_Exposicions_Temporals,"Pavelló Mies van der Rohe",6669,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.370666,2.149491
2022,Visitants,"Recinte Modernista de Sant Pau",214342,,,07,Horta-Guinardó,35,"el Guinardó","Consorci o fundació amb presència municipal","Centres patrimonials","Espais d'interès patrimonial","Història i memòria",41.4118413,2.1744033
2022,Fons_Colleccio,"Reial Monestir de Santa Maria de Pedralbes",8380,,,04,"Les Corts",21,Pedralbes,Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.395574166,2.112056853
2022,Visitants,"Reial Monestir de Santa Maria de Pedralbes",80024,,,04,"Les Corts",21,Pedralbes,Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.395574166,2.112056853
2022,Num_Exposicions_Temporals,"Santa Mònica",4,,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2022,Visitants,"Santa Mònica",25593,,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2022,Visites_Exposicions_Temporals,"Santa Mònica",19256,,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Centres d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2022,Visitants,"Zoo de Barcelona",740053,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions",Ciència,41.386823,2.190346
